trial_number,image_width,image_height,number_of_iter,duration_ms,render_output_image
1,16,16,50,230,false
2,16,16,50,228,false
3,16,16,50,251,false
1,32,32,50,851,false
2,32,32,50,845,false
3,32,32,50,832,false
1,64,64,50,3217,false
2,64,64,50,3267,false
3,64,64,50,3325,false
1,128,128,50,13736,false
2,128,128,50,13901,false
3,128,128,50,13855,false
1,256,256,50,57359,false
2,256,256,50,58651,false
3,256,256,50,56844,false
1,512,512,50,248515,false
2,512,512,50,271834,false
3,512,512,50,285169,false
