trial_number,image_width,image_height,number_of_iter,duration_ms,render_output_image
1,32,32,10,545,false
2,32,32,10,541,false
3,32,32,10,537,false
1,32,32,10,496,false
2,32,32,10,541,false
3,32,32,10,525,false
1,64,64,10,1734,false
2,64,64,10,1741,false
3,64,64,10,1728,false
1,128,128,10,6909,false
2,128,128,10,7033,false
3,128,128,10,7007,false
1,256,256,10,31062,false
2,256,256,10,29431,false
3,256,256,10,30321,false
1,512,512,10,153117,false
2,512,512,10,164288,false
3,512,512,10,166670,false
